SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade
HG00108,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.0785433768323189,0.0652664192957058,0.854027481048321,0.0021627228236538,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.984190785361613,0.0158092146383871,0.905443611371445,0,,0
HG00109,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.716768129082597,0.225461561294644,0.00345941858964338,0.0543108910331164,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.94249050433241,0.0575094956675901,0.905443611371445,0,,0
HG00110,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.515467076141431,0.438116184694274,0.00725427351150799,0.039162465652787,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.928054679794323,0.0719453202056775,0.905443611371445,0,,0
HG00111,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.657452141352119,0.237303615325076,0.0962045952385256,0.00903964808427948,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.990848496462116,0.00915150353788433,0.905443611371445,0,,0
HG00112,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.765540864593131,0.189292211143209,0.00772797641347543,0.0374389478501845,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.967926322057071,0.0320736779429287,0.905443611371445,0,,0
HG00113,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.731534361212884,0.233906783258583,0.00303479194629315,0.0315240635822403,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.962024637240453,0.0379753627595471,0.905443611371445,0,,0
HG00114,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.648218152630216,0.207441990201788,0.137179543035344,0.00716031413265281,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993239773556831,0.00676022644316923,0.905443611371445,0,,0
HG00115,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.713709995989979,0.196286774111441,0.0821542750446951,0.00784895485388507,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993463191409098,0.00653680859090213,0.905443611371445,0,,0
HG00116,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.644842367214578,0.318199889684254,0.00561564945188017,0.0313420936492879,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.96214467778889,0.0378553222111104,0.905443611371445,0,,0
HG00117,0.783516489113402,0.0882481905741486,0.12823532031245,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.218896145272893,0.527047079066768,0.196044392645238,0.0580123830151002,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.776275410813446,0.223724589186554,0.905443611371445,0,,0
