SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade,PVeryPaleSkin,PPaleSkin,PIntermediateSkin,PDarkSkin,PDarktoBlackSkin,Full_AUC_Very PaleSkin,Full_AUC_PaleSkin,Full_AUC_IntermediateSkin,Full_AUC_DarkSkin,Full_AUC_DarktoBlackSkin,Numb_missingSNPs_Skin,Name_missingSNPs_Skin,AUC_Loss_VeryPaleSkin,AUC_Loss_PaleSkin,AUC_Loss_IntermediateSkin,AUC_Loss_DarkSkin,AUC_Loss_DarktoBlackSkin
HG00129,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.581580005399958,0.376640381075803,0.00643841812941769,0.0353411953948219,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.947662671695119,0.0523373283048812,0.905443611371445,0,,0,0.00914985961680715,0.104637661003641,0.859162538223707,0.00511236928699547,0.0219375718688495,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00130,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.306478907851665,0.611756126552729,0.00932506592485719,0.0724398996707492,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.847556868567075,0.152443131432925,0.905443611371445,0,,0,0.086599759770586,0.177879951932931,0.729495413787221,0.000885875533988548,0.00513899897527297,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00131,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.702754401944251,0.261467602141224,0.00535991054951674,0.030418085365008,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.96076913071556,0.0392308692844395,0.905443611371445,0,,0,0.0425353566053472,0.0667253894873107,0.697671093575481,0.0227637052325542,0.170304455099307,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00132,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.767340433055927,0.123805566659646,0.0979139287574181,0.0109400715270082,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.989054109774265,0.0109458902257346,0.905443611371445,0,,0,0.0299695522959162,0.208318373449856,0.761712074234926,1.54470958852902e-11,3.85527675897972e-12,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00133,0.956360617566548,0.0354173986685561,0.00822198376489621,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.306478907851665,0.611756126552729,0.00932506592485719,0.0724398996707492,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.847556868567075,0.152443131432925,0.905443611371445,0,,0,0.0450280771644736,0.10075259567781,0.832563084418861,0.00225883832873032,0.0193974044101255,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00136,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.765540864593131,0.189292211143209,0.00772797641347543,0.0374389478501845,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.967926322057071,0.0320736779429287,0.905443611371445,0,,0,0.0447414754791701,0.151072144183123,0.708070104660474,0.00253779706284524,0.0935784786143869,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00137,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.383000898061669,0.377777072239394,0.222766337320653,0.0164556923782832,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.9783146255357,0.0216853744642995,0.905443611371445,0,,0,0.155946590097292,0.304308791249049,0.539027088289765,0.000703327464657238,1.42028992368332e-05,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00138,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.755222158324171,0.214100696891056,0.00453111835971706,0.0261460264250558,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.971732689233094,0.0282673107669062,0.905443611371445,0,,0,0.0105330333996543,0.118914677477034,0.854469864871898,0.00804143953788466,0.00804098471352902,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00139,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.289408219546393,0.586294512886128,0.0272388446142157,0.0970584229532633,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.825127336175778,0.174872663824222,0.905443611371445,0,,0,0.0429798104371063,0.195322428189656,0.757773425209711,0.000380385443572288,0.00354395071995363,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00140,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.250620742426278,0.683894488868167,0.0368528348668946,0.02863193383866,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.911274288335454,0.0887257116645462,0.905443611371445,0,,0,0.219913274221718,0.289925954582472,0.490029792997355,5.90886009390013e-08,0.000130919109854915,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00141,0.96041065476737,0.0352939265918268,0.00429541864080377,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.125033717929554,0.643551814104677,0.00736650283452504,0.224047965131243,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.439527944280777,0.560472055719223,0.905443611371445,0,,0,0.635705760742553,0.146531527803058,0.216408187625001,2.38612966038817e-05,0.00133066253278399,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00142,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.30736581871442,0.588478514600606,0.00391598886848879,0.100239677816486,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.744197117313631,0.255802882686369,0.905443611371445,0,,0,0.0360772392068949,0.163550871897905,0.798336385867205,0.000753586677003299,0.00128191635099227,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00143,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.648218152630216,0.207441990201788,0.137179543035344,0.00716031413265281,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993239773556831,0.00676022644316923,0.905443611371445,0,,0,0.0601387286613292,0.182041397290511,0.748706098489963,0.00884161617021091,0.000272159387985951,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
